Date,Scrip,Open,High,Low,Close,Volume
20230117,CENTRALINS,40.8,40.8,38.9,39,181185
20230117,CENTRALPHL,11.1,12.2,11.1,12.2,1187961
20230117,CITYBANK,21.8,21.8,21.8,21.8,110593
20230117,CITYGENINS,29.1,30.2,29,30,938526
20230117,CLICL,67.5,69.5,67.5,68.2,1025155
20230117,CNATEX,10.2,10.2,10.2,10.2,1
20230117,CONFIDCEM,89,89,89,89,2376
20230117,CONTININS,31.2,31.8,31,31.6,90633
20230117,COPPERTECH,36.9,37.5,36.9,37,1803895
20230117,CROWNCEMNT,74.4,74.4,74.4,74.4,90
20230117,CRYSTALINS,41.3,41.7,40.9,41.7,118987
20230117,CVOPRL,163.7,163.7,163.7,163.7,1898
20230117,DACCADYE,16.1,16.1,16.1,16.1,146081
20230117,DAFODILCOM,65.8,65.8,65.8,65.8,31
20230117,DBH,57.8,57.8,57.8,57.8,2206
20230117,DBH1STMF,6.9,6.9,6.9,6.9,23523
20230117,DELTALIFE,137.1,138.8,136.5,137.9,326689
20230117,DELTASPINN,8.5,8.5,8.5,8.5,615
20230117,DESCO,36.6,36.6,36.6,36.6,21850
20230117,DESHBANDHU,16.7,18.4,16.7,18.4,868938
20230117,DGIC,33.3,34.1,33.3,33.7,254389
20230117,DHAKABANK,13.2,13.3,13.2,13.2,651282
20230117,DHAKAINS,44.9,46.7,44.5,46.3,95338
20230117,DOMINAGE,19.1,19.1,19.1,19.1,105151
20230117,DOREENPWR,61,61,61,61,5382
20230117,DSHGARME,116,125,116,121.9,73404
20230117,DSSL,17,17,17,17,20740
20230117,DULAMIACOT,75.7,75.7,75.7,75.7,291
20230117,DUTCHBANGL,62.7,62.8,62.6,62.7,81999
20230117,EASTERNINS,51,52.1,50.7,51.6,145388
20230117,EASTLAND,25.5,25.5,24.8,25.3,174925
20230117,EASTRNLUB,1475,1556.9,1475,1556.9,4338
20230117,EBL,31.8,31.8,31.8,31.8,1325
20230117,EBL1STMF,7.4,7.4,7.4,7.4,6000
20230117,EBLNRBMF,6.5,6.5,6.5,6.5,2900
20230117,ECABLES,199.7,204.9,196.5,198.3,131166
20230117,EGEN,55.7,55.8,54,54.6,515404
20230117,EHL,89.9,96.2,89.9,94.3,2102316
20230117,EIL,28.9,28.9,26.7,27.4,77115
20230117,EMERALDOIL,31,31,31,31,9429
20230117,EPGL,34.5,34.5,34.5,34.5,5771
20230117,ESQUIRENIT,34.5,34.5,34.5,34.5,111
20230117,ETL,9.4,9.4,9.4,9.4,3295
20230117,EXIM1STMF,5.8,5.8,5.8,5.8,110
20230117,EXIMBANK,10.4,10.4,10.4,10.4,364198
20230117,FAMILYTEX,4.9,4.9,4.9,4.9,4
20230117,FARCHEM,10.6,10.6,10.6,10.6,330547
20230117,FAREASTLIF,82.5,87,82.5,86.3,610018
20230117,FASFIN,5.8,5.8,5.8,5.8,4006
20230117,FBFIF,5,5,5,5,139956
20230117,FEDERALINS,24.3,25,24.3,24.9,113386
20230117,FEKDIL,17.2,17.2,17.2,17.2,39870
20230117,FINEFOODS,62,62,59.9,60.4,185814
20230117,FIRSTFIN,5.5,5.5,5.5,5.5,14135
20230117,FIRSTSBANK,9.8,9.8,9.8,9.8,52609
20230117,FORTUNE,75.7,75.7,75.7,75.7,1135
20230117,FUWANGCER,17.4,17.4,17.4,17.4,16982
20230117,FUWANGFOOD,23.5,23.5,23.5,23.5,10075
20230117,GBBPOWER,18,18,18,18,293666
20230117,GEMINISEA,384,399,380,386.6,252695
20230117,GENEXIL,100.1,105,99.4,100.8,5157634
20230117,GENNEXT,6,6.3,6,6.2,1987259
20230117,GHAIL,17.5,17.5,17.5,17.5,14616
20230117,GHCL,35.1,35.1,35.1,35.1,2180
20230117,GIB,9,9,9,9,7820
20230117,GLOBALINS,32,32.4,31.1,32.2,149333
20230117,GOLDENSON,18.2,18.2,18.2,18.2,1481
20230117,GP,286.6,286.6,286.6,286.6,6641
20230117,GPHISPAT,44.8,44.8,44.8,44.8,15958
20230117,GQBALLPEN,95,95,91.7,92.4,42091
20230117,GRAMEENS2,15.2,15.2,15.2,15.2,4000
